Name,Genre,Description,Year,Runtime
Top Hat,"Comedy, Musical, Romance            ","An American dancer comes to Britain and falls for a model whom he initially annoyed, but she mistakes him for his goofy producer.",1935,101 min
Modern Times,"Comedy, Drama, Romance            ",The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,1936,87 min
The Awful Truth,"Comedy, Romance            ","A married couple file an amicable divorce, but find it harder to let go of each other than they initially thought.",1937,90 min
Angels with Dirty Faces,"Crime, Drama, Film-Noir            ",A priest tries to stop a gangster from corrupting a group of street kids.,1938,97 min
Bringing Up Baby,Comedy            ,"While trying to secure a $1 million donation for his museum, a befuddled paleontologist is pursued by a flighty and often irritating heiress and her pet leopard, Baby.",1938,102 min
The Adventures of Robin Hood,"Action, Adventure, Romance            ","When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence in 1190s England, a Saxon lord fights back as the outlaw leader of a resistance movement.",1938,102 min
The Lady Vanishes,"Mystery, Thriller            ","While travelling in continental Europe, a rich young playgirl realizes that an elderly lady seems to have disappeared from the train.",1938,96 min
The Roaring Twenties,"Crime, Drama, Film-Noir            ",Three men attempt to make a living in Prohibitionist America after returning home from fighting together in World War I.,1939,106 min
The Wizard of Oz,"Adventure, Family, Fantasy            ","Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes.",1939,102 min
Fantasia,"Animation, Family, Fantasy            ","A collection of animated interpretations of great works of Western classical music, ranging from the abstract to depictions of mythology and fantasy, and settings including the prehistoric, supernatural and sacred.",1940,125 min
His Girl Friday,"Comedy, Drama, Romance            ",A newspaper editor uses every trick in the book to keep his ace reporter ex-wife from remarrying.,1940,92 min
Pinocchio,"Animation, Adventure, Comedy            ","A living puppet, with the help of a cricket as his conscience, must prove himself worthy to become a real boy.",1940,88 min
The Bank Dick,Comedy            ,Henpecked Egbert Sousé has comic adventures as a substitute film director and unlikely bank guard.,1940,72 min
The Grapes of Wrath,Drama            ,"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression.",1940,129 min
Citizen Kane,"Drama, Mystery            ","Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'",1941,119 min
Dumbo,"Animation, Adventure, Drama            ","Ridiculed because of his enormous ears, a young circus elephant is assisted by a mouse to achieve his full potential.",1941,64 min
Sullivan's Travels,"Adventure, Comedy, Drama            ",Hollywood director John L. Sullivan sets out to experience life as a homeless person in order to gain relevant life experience for his next movie.,1941,90 min
Suspicion,"Film-Noir, Mystery, Thriller            ","A shy young heiress marries a charming gentleman, and soon begins to suspect he is planning to murder her.",1941,99 min
The Maltese Falcon,"Crime, Film-Noir, Mystery            ","San Francisco private detective Sam Spade takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette, with the stakes rising after his partner is murdered.",1941,100 min
Cat People,"Fantasy, Horror, Thriller            ",An American man marries a Serbian immigrant who fears that she will turn into the cat person of her homeland's fables if they are intimate together.,1942,73 min
Road to Morocco,"Adventure, Comedy, Family            ","Two carefree castaways on a desert shore find an Arabian Nights city, where they compete for the luscious Princess Shalmar.",1942,82 min
I Walked with a Zombie,"Drama, Fantasy, Horror            ","A nurse is hired to care for the wife of a sugar plantation owner, who has been acting strangely, on a Caribbean island.",1943,69 min
Shadow of a Doubt,"Film-Noir, Thriller            ","A teenage girl, overjoyed when her favorite uncle comes to visit the family in their quiet California town, slowly begins to suspect that he is in fact the ""Merry Widow"" killer sought by the authorities.",1943,108 min
The Life and Death of Colonel Blimp,"Drama, Romance, War            ","From the Boer War through World War II, a soldier rises through the ranks in the British military.",1943,163 min
Arsenic and Old Lace,"Comedy, Crime, Thriller            ",A Brooklyn writer of books on the futility of marriage risks his reputation when he decides to tie the knot. Things get even more complicated when he learns on his wedding day that his beloved maiden aunts are habitual murderers.,1944,118 min
Double Indemnity,"Crime, Drama, Film-Noir            ","A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator.",1944,107 min
"Murder, My Sweet","Crime, Drama, Film-Noir            ","After being hired to find an ex-con's former girlfriend, Philip Marlowe is drawn into a deeply complex web of mystery and deceit.",1944,95 min
Brief Encounter,"Drama, Romance            ","Meeting a stranger in a railway station, a woman is tempted to cheat on her husband.",1945,86 min
Dead of Night,"Drama, Horror            ","The guests invited to weekend in the country share their supernatural stories, beginning with Walter Craig, who senses impending doom as his half-remembered recurring dream turns into reality.",1945,103 min
Detour,"Crime, Drama, Film-Noir            ","Chance events trap hitchhiking nightclub pianist Al Roberts in a tightening net of death, deception and blackmail.",1945,68 min
